Loc1,Sahastradhara,30.3871,78.1293,2624,447
Loc2,Garhi Cantt,30.3563,78.0401,1585,863
Loc3,Rajpur Road ,30.3701,78.0803,2053,677
Loc4,Jakhan,30.3567,78.0809,1878,760
Loc5,Ballupur,30.3265,78.0145,1286,1266
Loc6,Araghar,30.3136,78.0484,1681,1440
Loc7,Ajabpur Kalan,30.3324,78.0548,1756,1186
Loc8,Tapkeshwar Temple,30.2767,78.0233,1389,1938
Loc9,Lachhiwala,30.1652,78.0146,1287,3441
Loc10,Rispana,30.3155,78.0622,1842,1414
Loc11,Rajeev Chowk,30.3232,78.0194,1343,1310
Loc12,Kishanpur,30.335,78.0375,1554,1151
Loc13,Suddhowala,30.2917,77.9633,690,1735
Loc14,Vasant Vihar,30.3322,78.0841,2097,1189
Loc15,Kairwaan,30.3565,78.0672,1900,861
Loc16,Bhauwala,30.3389,78.07,1933,1098
Loc17,Niranjanpur,30.2913,78.0111,1247,1741
Loc18,Majra,30.31,78.01,1234,1488
Loc19,Clement Town,30.2708,78.0097,1230,2017
Loc20,Kedarpuram,30.3295,78.0193,1342,1225
Loc21,Karanpur,30.3299,78.0593,1730,1224
Loc22,Chakarata Road ,30.3122,78.0937,2209,1459
Loc23,Mussoorie Road ,30.4011,78.1298,2630,258
Loc24,Simla Bypass ,30.2986,78.0811,2062,1642
Loc25,Dhalwala,30.3194,78.1042,2331,1361
Junc1,Clock Tower (Ghantaghar),30.325,78.0431,1620,1286
Junc2,Prince Chowk,30.319,78.03,1467,1367
Junc3,Ballupur Chowk,30.3265,78.0145,1286,1266
Junc4,Survey Chowk,30.32,78.042,1607,1353
Junc5,Dilaram Chowk,30.337,78.054,1747,1124
Junc6,Jakhan Chowk,30.3567,78.0809,2060,858
Junc7,Rajpur Chowk,30.3701,78.0803,2053,677
Junc8,Araghar Chowk,30.3136,78.0484,1681,1440
Junc9,Kargi Chowk,30.3048,77.9876,973,1558
Junc10,Balliwala Chowk,30.3189,78.0014,1134,1368
Junc11,Premnagar Chowk,30.3375,77.9565,611,1117
Junc12,ISBT Junction,30.2707,78.0081,1212,2019
Junc13,Clement Town Chowk,30.2673,78.0332,1504,2064
Junc14,Race Course Chowk,30.3172,78.0384,1565,1391
Junc15,EC Road Junction,30.3339,78.0372,1551,1166
Junc16,Dalanwala Chowk,30.3302,78.0561,1771,1216
Junc17,Suddhowala Chowk,30.2917,77.9633,690,1735
Junc18,Rispana Bridge Junction,30.3155,78.0622,1842,1414
Junc19,Chakrata Road Junction,30.3255,78.015,1292,1279
Junc20,Saharanpur Chowk,30.3205,78.0305,1473,1347
Junc21,Tehri Road Junction,30.345,78.045,1642,1016
Junc22,Mussoorie Diversion,30.345,78.08,2049,1016
Junc23,Niranjanpur Chowk,30.295,78.012,1257,1691
Junc24,Haridwar Bypass Junction,30.29,78.05,1700,1758
Junc25,Majra Chowk,30.31,78.01,1234,1488
Res1,Kalsang Friends Corner,30.3253,78.043,1618,1282
Res2,Orchard Restaurant,30.391,78.103,2317,395
Res3,Black Pepper Restaurant,30.3253,78.043,1618,1282
Res4,Town Table,30.3408,78.06,1816,1073
Res5,Muse - The Art of Gourmet,30.3281,78.0428,1616,1244
Res6,Flavours Restaurant,30.3165,78.0322,1493,1401
Res7,Punjab Restaurant,30.3248,78.0429,1617,1289
Res8,Moti Mahal,30.3161,78.0427,1615,1406
Res9,Y Cafe & Restaurant,30.3275,78.0401,1585,1252
Res10,Coco Osteria,30.325,78.0247,1405,1286
Res11,Foresta Cafe,30.3698,78.0905,2172,681
Res12,Garden Cress,30.3225,78.0244,1402,1320
Res13,The Terrace (Four Points),30.3789,78.0926,2196,558
Res14,Pacific Blue,30.3451,78.0668,1896,1015
Res15,Anandam,30.3679,78.0889,2153,707
Res16,TGIP - The Great Indian Pub,30.3555,78.0766,2010,874
Res17,Cafune,30.323,78.0245,1403,1313
Res18,Diablo,30.3811,78.0956,2231,528
Res19,Basque,30.4072,78.1038,2327,176
Res20,Shagun Restaurant,30.3141,78.0333,1505,1433
